category,total_threads,threads_with_reply,avg_response_minutes,median_response_minutes,p90_response_minutes,response_coverage_pct
Meeting Notification,7,1,2.3147499999999996,2.3147499999999996,2.3147499999999996,14.285714285714285
Knowledge Sharing,10,2,9.114775000000002,9.114775000000002,10.555128333333334,20.0
Security Concern,9,1,19.1737,19.1737,19.1737,11.11111111111111
Discussion/Brainstorm,1,1,20.541666666666668,20.541666666666668,20.541666666666668,100.0
Documentation Request,6,4,29.8292875,23.773983333333334,56.80422666666667,66.66666666666666
Code Review,253,169,133.06172100591715,16.115483333333334,477.0079500000001,66.79841897233202
Release/Deployment Status,22,8,210.24811041666666,57.46391666666666,530.7911616666665,36.36363636363637
Enhancement/Optimization,4,2,219.51045000000002,219.51045000000002,369.5288233333334,50.0
Task Assignment,7,2,284.41859166666666,284.41859166666666,508.87706499999996,28.57142857142857
Status Update,97,31,293.70409032258067,50.95008333333333,779.6212166666667,31.958762886597935
Performance Issue,48,21,452.014453968254,19.05251666666667,859.28945,43.75
Team Announcement,52,14,504.7854214285714,63.170475,1010.6863316666669,26.923076923076923
Timeline/Deadline Update,16,7,616.7558380952381,32.00925,1771.8138133333343,43.75
Off-topic/General Chat,447,51,796.3551732026144,14.264016666666667,2611.184933333333,11.409395973154362
Tutorial/How-to,13,4,1969.7326291666666,12.486650000000001,5502.077583333335,30.76923076923077
Best Practice/Guideline,4,0,,,,0.0
Technical Debt,6,0,,,,0.0
Uncategorized,11,0,,,,0.0
