Solution,Category,Specific Requirements,MSP Owned,Shared,MSP Augmented,MGRC Owned,Decline to Bid,Bid As Specified,Bid As Modified,MSP Comments
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Administration & Configuration,"Provide comprehensive administration and configuration services to support stable, secure, and business‑aligned platform operations. This includes user, role, profile, and permission management; permission sets and access governance; page layouts and user interface configurations; declarative automation such as flows and workflows; validation rules; approval processes; and ongoing environment management across all supported modules and environments. Services must ensure alignment with documented business rules, operational policies, and governance standards. Support day‑to‑day administrative requests, configuration changes, access provisioning/deprovisioning, and issue resolution to maintain system integrity, usability, and compliance. Single Sign‑On (SSO) and identity federation support may vary by tool and identity provider and shall be handled in accordance with each platform’s supported authentication model.",No,Yes,No,No,No,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Incident & Error Management,"Triage, troubleshooting, root‑cause analysis, and resolution of functional, configuration, connectivity, data-flow exceptions and API/integration issues across modules and related components. As needed, manage SR process with solution provider.",No,Yes,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Release & Deployment Management,"Review, impact assessment of periodic releases, regression testing, resolution of functional, configuration, and integration issues across all modules, configuration documentation updates, deployment support and coordination, environment & sandbox refresh coordination, knowledge transfer.",No,Yes,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Patch & Maintenance Management,"Continuous monitoring and identification, automation and deployment, patching of instances, and supporting services; regression testing and validation, resolution of issues. Coordination of maintenance windows and environment updates.",No,Yes,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Operational Day-to-Day,"Deliver ongoing day‑to‑day operational support to ensure platform stability and business continuity, including service request fulfillment, minor enhancements, configuration updates, data fixes, and user support.",No,Yes,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Integration & Connectivity Support,"Monitoring and error handling for integrations with DocuSign, D&B, Zilliant, and other connected systems; coordination with middleware teams for API and data‑flow issues.",No,Yes,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Performance & Health Monitoring & Optimization,"Proactive checks on automation, scheduled processes, data loads and quality, governor limits, SLA accounting, cross-module dependencies to ensure optimal system stability and performance; recommendations to improve stability and scalability.",Yes,No,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Security & Compliance,"Identify and Access Management (IAM) and role governance, segregation-of-duties reviews, audit support, field‑level security reviews, permission hygiene, network security, security hardening, vulnerability management, and adherence to internal security and compliance standards. Certificate/key rotation as applicable. OAuth/JWT configuration as needed. Comply with MGRC's defined Change Management controls.",No,Yes,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Data Management,"Data imports/exports, cleansing, deduplication, validation, and support for migration or M&A onboarding activities. Reconcile data across systems and monitor data integrity. Master data management support.",No,Yes,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Cost & Capacity Management,"Monitoring licensing usage to identify unused, underutilized or duplicate licenses to reduce expenditures. Support solution renewal negotiations. Support predictive cost analysis for budgeting and forecasting. Support capacity planning and optimization.",No,No,Yes,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.","Development, Enhancement & Optimization","Provide ongoing development, enhancement, and optimization to improve technical and business processes across supported platforms, including automation, configuration refinement, support of platform features and custom components, reusable assets, and adherence to best practices. Services also include optimizing analytics, dashboards, KPIs, and reporting, and delivering recommendations to improve usability, efficiency, scalability, and operational effectiveness, prioritized against business objectives and delivered through governed, repeatable approaches.",No,Yes,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Disaster Recovery & Backup Support,"Risk assessment, establish and support Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO), develop Disaster Recovery Plan (RDP) with procredures, ensure automated backups with comprehensive data capture and secure storage, conduct and support periodic (minimally annually) drill simulations to comply to RTO and RPO.",No,Yes,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Documentation & Knowledge Management,"Preparation, revision and maintenance and knowledge transfer support and management of SOPs, configuration logs, runbooks, and knowledge articles for ongoing operations.",Yes,No,No,No,,No,No,
"Salesforce CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Collaboration & Governance,"Regular reporting, roadmap alignment, and close coordination with internal IT, business stakeholders, and module owners.",Yes,No,No,No,,No,No,
RecVue,Administration & Configuration,"Provide comprehensive administration and configuration services to support stable, secure, and business‑aligned platform operations. This includes user, role, profile, and permission management; permission sets and access governance; page layouts and user interface configurations; declarative automation such as flows and workflows; validation rules; approval processes; and ongoing environment management across all supported modules and environments. Services must ensure alignment with documented business rules, operational policies, and governance standards. Support day‑to‑day administrative requests, configuration changes, access provisioning/deprovisioning, and issue resolution to maintain system integrity, usability, and compliance. Single Sign‑On (SSO) and identity federation support may vary by tool and identity provider and shall be handled in accordance with each platform’s supported authentication model.",No,Yes,No,No,No,No,No,
RecVue,Day to Day Operations,"Deliver ongoing day‑to‑day operational support to ensure platform stability and business continuity, including service request fulfillment, minor enhancements, configuration updates, data fixes, and user support. Billing and revenue cycle execution — running billing cycles, validating invoices, handling exceptions, supporting revenue schedules, and managing contract changes.",Yes,No,No,No,,No,No,
RecVue,Incident & Error Management,"Triage, troubleshooting, root‑cause analysis, and resolution of functional, configuration and API/integration issues across modules and related components. Integration operations — monitoring and fixing issues with ERP, CRM, CPQ, tax, usage, and payment integrations; managing API failures and data ingestion errors.As needed, manage SR process with solution provider.",No,Yes,No,No,,No,No,
RecVue,Release & Deployment Management,"Review, impact assessment of periodic releases, regression testing, resolution of functional, configuration, and integration issues across all modules, configuration documentation updates, deployment support and coordination, environment & sandbox refresh coordination, knowledge transfer.",Yes,No,No,No,,No,No,
RecVue,Patch & Maintenance Management,"Continuous monitoring and identification, automation and deployment, patching of instances, and supporting services; regression testing and validation, resolution of issues. Coordination of maintenance windows and environment updates.",Yes,No,No,No,,No,No,
