category,count,replies,pct,reply_pct
Bug/Error,708,307,16.733632710943038,43.36158192090395
Status Update,461,354,10.895769321673363,76.78958785249458
Infrastructure/Deployment Problem,428,212,10.115811864807373,49.532710280373834
Question/Help Request,401,260,9.477664854644292,64.83790523690773
Test Failure,398,119,9.406759631292838,29.899497487437188
Uncategorized,383,232,9.05223351453557,60.574412532637076
Off-topic/General Chat,367,287,8.674072323327819,78.2016348773842
Code Review,291,86,6.877806665090995,29.553264604810998
Task Assignment,141,40,3.3325454975183173,28.368794326241137
Image/Attachment Share,130,68,3.0725596785629876,52.307692307692314
Release/Deployment Status,79,57,1.867170881588277,72.15189873417721
Team Announcement,79,39,1.867170881588277,49.36708860759494
Performance Issue,75,31,1.7726305837863388,41.333333333333336
QA/Testing Issue,52,34,1.2290238714251949,65.38461538461539
Blocker/Dependency,45,33,1.0635783502718033,73.33333333333333
Timeline/Deadline Update,38,25,0.8981328291184117,65.78947368421053
Knowledge Sharing,29,22,0.6854171590640511,75.86206896551724
Link Share,26,14,0.6145119357125974,53.84615384615385
Security Concern,25,16,0.590876861262113,64.0
Tutorial/How-to,20,11,0.4727014890096904,55.00000000000001
Documentation Request,16,10,0.3781611912077523,62.5
Enhancement/Optimization,15,11,0.3545261167572678,73.33333333333333
Meeting Notification,8,2,0.18908059560387616,25.0
Technical Debt,7,1,0.16544552115339162,14.285714285714285
Best Practice/Guideline,6,2,0.1418104467029071,33.33333333333333
Discussion/Brainstorm,2,1,0.04727014890096904,50.0
Feature Request,1,1,0.02363507445048452,100.0
