"#","Type","Section","Question","RFP Reference","RFP Location","Justification"
"1","Original","Scope & Transition Planning","Can MGRC provide a breakdown of current monthly ticket/service request volume by application area (Salesforce, Oracle Fusion, OCI, NexSTAR, integrations, etc.) and by priority level (P1-P4) for the trailing 12 months?","MGRC Environment","MGRC Overview section, current operations description","Critical for cost modeling. Ticket volume by app and severity determines team size. Standard question every MSP will ask."
"2","Original","Scope & Transition Planning","What is the current FTE count (internal and external/contractor) supporting each application area today? How many of these resources are expected to transition to the MSP, remain at MGRC, or depart during the onboarding period?","MGRC Environment","MGRC Overview section, staffing details","Indicates how many people do this work today, which estimates how many we need. Also clarifies rebadge expectations."
"3","Original","Scope & Transition Planning","For the Knowledge Transfer phase (May 18 - July 6), will MGRC's current support resources remain fully available to shadow and co-work with MSP staff during the entire transition period, or is there an expected ramp-down schedule for current resources?","Specific Requirements","General section, Transition subsection","If current staff leave before KT is complete, we have a coverage gap. We need to price for parallel running costs and potential extended stabilization."
"4","Original","Scope & Transition Planning","Is MGRC open to a phased go-live approach where application areas are transitioned in priority waves rather than a single go-live date of July 6 for all areas?","Specific Requirements","General section, Go-Live subsection","Phased approach reduces delivery risk and allows early wins. Gives time to ramp on complex areas like Oracle Fusion. Shows pragmatic thinking."
"5","Original","Scope & Transition Planning","Of the 50+ integrations listed, how many are currently in production and stable versus in active development or experiencing recurring issues? Can MGRC provide error/failure rates for the top integrations by volume?","MGRC Environment","Integration Inventory spreadsheet","A stable integration needs monitoring; a troubled one needs engineering. This distinction could mean 2 vs 5 integration engineers."
"6","Original","Scope & Transition Planning","The RFP notes OCI effort is estimated at under 1,000 hours annually. Can MGRC provide similar annual hour estimates for other application areas to help vendors right-size proposals?","Specific Requirements","OCI section, Row 48","If they provided 1,000 hours for OCI, they likely have internal estimates for other areas. Enables far more accurate pricing than competitors who guess."
"7","New","Scope & Transition Planning","What is the current onshore/offshore distribution of support resources, and what is the organizational structure (e.g., dedicated teams per app vs. shared pool)?","MGRC Environment","MGRC Overview section","Understanding current model helps us staff appropriately and match their existing structure. Builds on Q2 by adding geographic and organizational detail."
"8","New","Scope & Transition Planning","As a follow-up on integration stability: when integration issues arise, does MGRC's team typically resolve them in-house, or are they escalated to software vendors like Oracle or MuleSoft, or to the current support provider?","MGRC Environment","Integration Inventory spreadsheet","Clarifies accountability model for integrations. Affects how we staff and what expertise level we need. Builds on Q5 by addressing ownership."
"9","New","Scope & Transition Planning","Is the July 6 go-live date firm, or is there potential for schedule adjustment based on current project status? What contingency exists if the Oracle Fusion go-live extends past May 18?","Timeline","Specific Requirements, General, Go-Live","If project slips, MSP transition timeline compresses or extends. Shows dependency awareness. Strategic intel suggests SIT2/UAT overlap and resource pressure."
"10","New","Scope & Transition Planning","As MGRC consolidates vendor relationships, what is the expected timeline for transitioning work from exiting vendors to the selected MSP(s)? Will the MSP be responsible for any transition activities from other vendors?","Strategic Intel","Vendor consolidation from 20 to 3-10 vendors","Hidden scope risk. We may inherit work from exiting vendors, which affects Phase 1 effort and staffing requirements."
"11","New","Scope & Transition Planning","Can MGRC characterize the current state of operational documentation (runbooks, SOPs, architecture diagrams) for each application area? Which areas are well-documented vs. relying primarily on tribal knowledge?","Scope of Services","Section 4, Documentation & Knowledge Management","Poor documentation means longer KT and higher transition risk. Understanding baseline helps price accurately and plan for documentation remediation."
"12","Original","Evaluation & Selection Criteria","Can MGRC share the relative weighting or ranking of the evaluation criteria listed (expertise, completeness, customer service, governance, vendor strength, compliance, value/TCO)?","Next Steps","Selection Process section","If price is 50% of the score, we need to be cost-aggressive. If expertise is weighted highest, we emphasize institutional knowledge. Shapes everything."
"13","Revised","Evaluation & Selection Criteria","Does MGRC have a preference between a single MSP provider across all solution areas versus multiple providers with complementary coverage?","Next Steps","Selection Process section","Most important strategic question. If multi-vendor acceptable, we bid confidently on strongest areas. If single-vendor only, we need consortium response. Revision removes the specific split example that revealed our thinking."
"14","New","Evaluation & Selection Criteria","Can MGRC share who will be participating in the evaluation process (e.g., IT, Finance, Procurement, Business Units)?","Next Steps","Selection Process section","Helps tailor proposal messaging to actual evaluators. Standard process question that provides competitive intel without revealing strategy."
"15","New","Evaluation & Selection Criteria","What role does MGRC envision AI and automation playing in managed services over the next 2-3 years? Are there specific areas where automation is a priority?","Strategic Intel","Mae Roberts conversation; Win Strategy 4","Mae flagged AI as differentiator. Everyone else will position around AI too, so asking this levels the playing field and helps us emphasize the right capabilities."
"16","Original","Staffing & Resource Model","For US business hours support (5 AM - 5 PM PST), does MGRC require dedicated named resources assigned exclusively to MGRC for each application area, or is a shared/pooled resource model with guaranteed response SLAs acceptable?","General Requirements","Service & Support section, 4.1","Named dedicated resources cost significantly more (10-15 FTEs minimum). A pooled model with SLA commitments is more efficient. Potentially $500K+ annual pricing difference."
"17","Original","Staffing & Resource Model","For after-hours data pipeline monitoring (10 PM - 7 AM PT), what is the typical nightly volume of pipeline runs and average frequency of interventions requiring hands-on remediation versus automated alerting with next-business-day follow-up?","Specific Requirements","Snowflake/Data section, Rows 145-147","If mostly passive monitoring with rare interventions, a small offshore NOC team works. If nightly hands-on fixes are common, we need skilled engineers on night shift."
