Row,Content
1,Next Steps for Vendors Participating in RFP
3,Response Process
4,Executive Summary
5,"Notification of Intent & Clarifying Questions • Indicate your intention to respond via email and submit clarifying questions by the specified date. • Responses to clarifying questions will be shared to all parties invited to bid • Clarifying questions should be submitted using the Provided Form by specified date. Response Delivery Instructions • Submit responses electronically by specified date to the designated contact • Attach supporting documentation as needed Required Attachments Below • Completed Corporate Response Form (Attachment A) • Completed Questionnaires: (1) Experience and Methodology, (2) General Requirements, and (3) Specific Requirements (Attachment B, C, D) • Standard Service Level Agreements and KPIs (Attachment E, F) • Pricing breakdown and cost worksheets (Attachment G) • Standard terms and conditions"
7,Selection Process
9,"Evaluation Criteria Responses will be evaluated based on: • Expertise & specialized experience in relevant complex integrated Data/SaaS environments • Completeness of solution (specifically co-existence with Internal Dev Teams) • Customer service, support model, SLAs & ability to triage issues • Account management, governance, and transparent reporting • Vendor strength, stability, and partnership levels • Compliance with MGRC security, regulatory and Data Governance requirements • Overall value (Total Cost of Ownership vs. Risk) and commercial terms Selection Process • Review and scoring of responses • Identification of finalists for presentations/interviews • Site visits/reference calls as needed"
11,"References: Provide at least three references for similar customers, including contact names, phone numbers, email addresses, and industry."
13,Name | Company | Phone (xxx) xxx-xxxx | Email Address
20,Attachments
23,Kindly respond to the following tabs and please send the correct file attachments | File Name (s)
24,"Corporate Response Form • Company Profile (name, address, contact, website, products/services, market/customers, years in market, locations, employees, partnerships, acquisitions) • Financial Information (gross revenue, net income, ROI)"
26,Experience & Methodology
28,"General Requirements • General, Processes, Technology, Support, Pricing & Contracts, References"
30,Specific Requirements
32,"Pricing Here • Itemized costs (non-recurring, recurring, per user/device/month, etc.) • Pricing for 1, 3, and 5 years • Capex and as-a-service models • Total project cost summary"
35,"Your Service Level Agreements (SLAs) and KPIs • Define your performance measures, reporting frequency, escalation process"
36,MGRC IT Policies • Please review and confirm acceptance of MGRC IT Policies
