Question #,Section,Type,Priority,Question,Source Reference,Justification
Q1,Scope & Transition,ORIGINAL,Standard,"Can MGRC provide a breakdown of current monthly ticket/service request volume by application area (Salesforce, Oracle Fusion, OCI, NexSTAR, integrations, etc.) and by priority level (P1-P4) for the trailing 12 months?",v02 Q1,Essential for cost model. Every MSP will ask this.
Q2,Scope & Transition,ORIGINAL,Standard,What is the current FTE count (internal and external/contractor) supporting each application area today? How many of these resources are expected to transition to the MSP remain at MGRC or depart during the onboarding period?,v02 Q2,Standard scoping — tells us team size needed.
Q3,Scope & Transition,ORIGINAL,Standard,"For the Knowledge Transfer phase (May 18 - July 6), will MGRC's current support resources remain fully available to shadow and co-work with MSP staff during the entire transition period, or is there an expected ramp-down schedule for current resources?",v02 Q3,Coverage gap risk if staff leave before KT complete.
Q4,Scope & Transition,ORIGINAL,Standard,Is MGRC open to a phased go-live approach where application areas are transitioned in priority waves rather than a single go-live date of July 6 for all areas?,v02 Q4,De-risks delivery; shows pragmatic thinking.
Q5,Scope & Transition,ENHANCED,High,"The architecture diagram shows 50+ integrations across Oracle Cloud (SCM, ERP, CX, EPM), Salesforce, RecVue, and external systems. Can MGRC provide: (a) an inventory of integrations with their current stability status (stable/active development/recurring issues), (b) monthly error/failure rates for the top 10 integrations by volume, and (c) identification of which integrations are synchronous vs. asynchronous?",v02 Q5 + architecture.md,Architecture shows majority are synchronous (blue outline) = high uptime requirements. Sync failures cascade immediately.
Q6,Scope & Transition,ENHANCED,Must-Ask,"The RFP notes OCI effort is estimated at under 1,000 hours annually. However, the Specific Requirements show 15 categories for OCI alone (Administration, Release Management, Security, DR, etc.). Does the 1,000-hour estimate cover all 15 categories, or only the Operational Day-to-Day scope? Can MGRC provide similar annual hour estimates for other application areas, particularly Oracle Fusion (which spans Finance, SCM, Procurement, FSM, EPM) and NexSTAR (24x7 custom application)?",v02 Q6 + specific_requirements.csv rows 46-60,"CSV shows 15 OCI requirement categories. 1,000 hours seems low if all are in scope."
Q7,Scope & Transition,ORIGINAL,Standard,"What is the current onshore/offshore distribution of support resources, and what is the organizational structure (e.g., dedicated teams per app vs. shared pool)?",v02 Q7,Understanding current model helps us staff appropriately.
Q8,Scope & Transition,ENHANCED,High,"The Specific Requirements show Shared=Yes for most Integration & Connectivity Support categories, and the architecture shows dual middleware platforms (OIC and MuleSoft). When integration issues arise: (a) who owns first-level triage (MSP or MGRC), (b) at what point does ownership transfer to the middleware team, and (c) who coordinates with external system vendors (Avalara, Zilliant, DocuSign, banks) when the issue is on their end?",v02 Q8 + specific_requirements.csv row 94,Row 94 (OIC Incident Management) shows NO ownership assignment - appears to be a gap. Need clarity.
Q9,Scope & Transition,ORIGINAL,Standard,Is the July 6 go-live date firm or is there potential for schedule adjustment based on current project status? What contingency exists if the Oracle Fusion go-live extends past May 18?,v02 Q9,Shows dependency awareness.
Q10,Scope & Transition,ORIGINAL,Standard,As MGRC consolidates vendor relationships what is the expected timeline for transitioning work from exiting vendors to the selected MSP(s)? Will the MSP be responsible for any transition activities from other vendors?,v02 Q10,Hidden scope risk from vendor transitions.
Q11,Scope & Transition,ENHANCED,High,"Can MGRC characterize the current state of operational documentation for each application area? Specifically: (a) for NexSTAR (custom application with 24x7 requirement), what documentation exists for the technology stack, codebase, and deployment procedures? (b) for the Material Voucher Java application shown in the architecture, is there documentation on hosting, ownership, and integration patterns? (c) for RecVue (which sits between Salesforce and Oracle ERP), are billing rules and revenue recognition logic documented?",v02 Q11 + architecture.md,"Custom apps (NexSTAR, Material Voucher) and specialized billing (RecVue) are highest KT risk."
Q12,Scope & Transition,NEW: Technical,Must-Ask,"The Specific Requirements include separate sections for OIC (rows 91-103) and MuleSoft (rows 104-115) integration platforms. Can MGRC clarify: (a) the strategic division of workloads between OIC and MuleSoft (e.g., OIC for Oracle-native MuleSoft for SaaS), (b) the expected ratio of MSP effort between the two platforms, and (c) whether there are plans to consolidate to a single platform during the contract term?",specific_requirements.csv rows 91-115,Dual platforms = dual skill sets = higher staffing cost. Need to understand if this is transitional or permanent.
Q13,Scope & Transition,NEW: Technical,Must-Ask,"Several Specific Requirements mandate named MSP resources due to data and domain knowledge required (Oracle BI Tools rows 116-117, Snowflake/Pipeline rows 142-145). Can MGRC clarify: (a) which roles require dedicated named resources vs. pooled support, (b) the expected FTE allocation for named resource areas, and (c) whether named resources must be onshore or can include offshore team members?",specific_requirements.csv rows 116-117 and 142-145,Named resources = dedicated staffing (higher cost) vs. pooled support (lower cost). $500K+ annual pricing difference.
Q14,Scope & Transition,NEW: Technical,Must-Ask,"The Specific Requirements specify up to 5 SQL Servers and up to 7 ATP Databases (rows 148-160). Can MGRC provide: (a) the actual current count of each database type in production, (b) for SQL Servers the configuration (standalone Always On Failover Cluster), and (c) for ATP databases the current OCPU/storage allocations?",specific_requirements.csv rows 148-160,Up to language creates scope ambiguity. Actual counts drive licensing and staffing.
Q15,Evaluation & Selection,ORIGINAL,Standard,"Can MGRC share the relative weighting or ranking of the evaluation criteria listed (expertise, completeness, customer service, governance, vendor strength, compliance, value/TCO)?",v02 Q12,Shapes where we emphasize in proposal. Every bidder asks this.
Q16,Evaluation & Selection,ORIGINAL,Standard,Does MGRC have a preference between a single MSP provider across all solution areas versus multiple providers with complementary coverage?,v02 Q13,Critical strategic question.
Q17,Evaluation & Selection,ORIGINAL,Standard,"Can MGRC share who will be participating in the evaluation process (e.g., IT, Finance, Procurement, Business Units)?",v02 Q14,Helps tailor messaging to evaluators.
Q18,Evaluation & Selection,ORIGINAL,Standard,What role does MGRC envision AI and automation playing in managed services over the next 2-3 years? Are there specific areas where automation is a priority?,v02 Q15,Levels the field on AI positioning.
Q19,Staffing & Resource Model,ORIGINAL,Standard,"For US business hours support (5 AM - 5 PM PST), does MGRC require dedicated named resources assigned exclusively to MGRC for each application area, or is a shared/pooled resource model with guaranteed response SLAs acceptable?",v02 Q16,$500K+ annual pricing difference based on answer.
Q20,Staffing & Resource Model,ORIGINAL,Standard,"For after-hours data pipeline monitoring (10 PM - 7 AM PT), what is the typical nightly volume of pipeline runs and average frequency of interventions requiring hands-on remediation versus automated alerting with next-business-day follow-up?",v02 Q17,Passive monitoring vs active engineering = huge cost difference.
Q21,Staffing & Resource Model,ORIGINAL,Standard,Does MGRC have existing change management policies and maintenance schedules for the MSP to adopt or should we propose a governance framework during Phase 1?,v02 Q18,Adopting existing vs building from scratch = different Phase 1 scope.
Q22,Staffing & Resource Model,ORIGINAL,Standard,"For Oracle Fusion day-to-day operations, can MGRC provide approximate monthly volumes for period-close activities, journal entries, PO/invoice processing, and service requests? Are there seasonal peaks (quarter-end, year-end) that require surge staffing?",v02 Q19,Largest scope item. Seasonal peak question shows ERP ops maturity.
Q23,Staffing & Resource Model,ORIGINAL,Standard,For dedicated resources are there specific skill certifications or experience requirements that MGRC considers mandatory vs. preferred?,v02 Q20,Staffing accuracy; distinguishes required vs nice-to-have.
Q24,Staffing & Resource Model,ORIGINAL,Standard,"Will the MSP be expected to coordinate with or manage relationships with third-party vendors (e.g., Oracle support, MuleSoft support, implementation partners)? If so can MGRC provide a list of current third-party vendors and their support scope?",v02 Q21,Potential high-value scope for BayOne.
